16-April-23 13:05:05 - INFO:  set_to:0.0005044518038630486
16-April-23 13:05:05 - INFO:  set_to:0.0005462272092700005
16-April-23 13:05:05 - INFO:  set_to:0.0005090925842523575
16-April-23 13:05:05 - INFO:  set_to:0.0005865758284926414
16-April-23 13:05:05 - INFO:  set_to:0.0005756653845310211
16-April-23 13:05:05 - INFO:  set_to:0.0005847420543432236
16-April-23 13:05:06 - INFO:  set_to:0.0005857348442077637
16-April-23 13:05:06 - INFO:  set_to:0.0005843900144100189
16-April-23 13:05:06 - INFO:  set_to:0.0005015786737203598
16-April-23 13:05:06 - INFO:  set_to:0.00048528239130973816
16-April-23 13:05:07 - INFO:  set_to:0.0005464907735586166
16-April-23 13:05:07 - INFO:  set_to:0.0005827387794852257
16-April-23 13:05:07 - INFO:  set_to:0.0005767252296209335
16-April-23 13:05:07 - INFO:  set_to:0.0005892468616366386
16-April-23 13:05:07 - INFO:  set_to:0.0005746046081185341
16-April-23 13:05:07 - INFO:  set_to:0.0005816752091050148
16-April-23 13:05:07 - INFO:  set_to:0.0005774609744548798
16-April-23 13:05:08 - INFO:  set_to:0.0005006939172744751
16-April-23 13:05:08 - INFO:  set_to:0.00046856701374053955
16-April-23 13:05:08 - INFO:  set_to:0.0004800455644726753
16-April-23 13:05:08 - INFO:  set_to:0.0005690045654773712
16-April-23 13:05:08 - INFO:  set_to:0.0004963036626577377
16-April-23 13:05:08 - INFO:  set_to:0.000501653179526329
16-April-23 13:05:09 - INFO:  set_to:0.0006714332848787308
16-April-23 13:05:09 - INFO:  set_to:0.0005899565294384956
16-April-23 13:05:10 - INFO:  set_to:0.0005145994946360588
16-April-23 13:05:10 - INFO:  set_to:0.0004858933389186859
16-April-23 13:05:10 - INFO:  set_to:0.0005723265931010246
16-April-23 13:05:10 - INFO:  set_to:0.0006642062216997147
16-April-23 13:05:10 - INFO:  set_to:0.0005847224965691566
16-April-23 13:05:10 - INFO:  set_to:0.0006656069308519363
16-April-23 13:05:10 - INFO:  set_to:0.0005379123613238335
16-April-23 13:05:11 - INFO:  set_to:0.0004762783646583557
16-April-23 13:05:11 - INFO:  set_to:0.0005206447094678879
16-April-23 13:05:11 - INFO:  set_to:0.0005282517522573471
16-April-23 13:05:11 - INFO:  set_to:0.0006020935252308846
16-April-23 13:05:11 - INFO:  set_to:0.0005901269614696503
16-April-23 13:05:11 - INFO:  set_to:0.0005681877955794334
16-April-23 13:05:11 - INFO:  set_to:0.0005017314106225967
16-April-23 13:05:11 - INFO:  set_to:0.0005850372835993767
16-April-23 13:05:11 - INFO:  set_to:0.0004804879426956177
16-April-23 13:05:11 - INFO:  set_to:0.000581822358071804
16-April-23 13:05:12 - INFO:  set_to:0.0005112839862704277
16-April-23 13:05:12 - INFO:  set_to:0.0005950154736638069
16-April-23 13:05:12 - INFO:  set_to:0.0005461359396576881
16-April-23 13:05:12 - INFO:  set_to:0.0004549473524093628
16-April-23 13:05:12 - INFO:  set_to:0.0004928493872284889
16-April-23 13:05:12 - INFO:  set_to:0.0005018115043640137
16-April-23 13:05:12 - INFO:  set_to:0.0004929611459374428
16-April-23 13:05:13 - INFO:  set_to:0.0005785208195447922
16-April-23 13:05:13 - INFO:  set_to:0.0005589472129940987
16-April-23 13:05:13 - INFO:  set_to:0.0005848929286003113
16-April-23 13:05:13 - INFO:  set_to:0.0004868507385253906
16-April-23 13:05:13 - INFO:  set_to:0.0004895580932497978
16-April-23 13:05:13 - INFO:  set_to:0.000565006397664547
16-April-23 13:05:13 - INFO:  set_to:0.0005353651940822601
16-April-23 13:05:13 - INFO:  set_to:0.0006345603615045547
16-April-23 13:05:13 - INFO:  set_to:0.0005864324048161507
16-April-23 13:05:14 - INFO:  set_to:0.000556345097720623
16-April-23 13:05:14 - INFO:  set_to:0.0004909224808216095
16-April-23 13:05:14 - INFO:  set_to:0.0006855279207229614
16-April-23 13:05:14 - INFO:  set_to:0.0004971185699105263
16-April-23 13:05:14 - INFO:  set_to:0.0006745541468262672
16-April-23 13:05:14 - INFO:  set_to:0.0005769087001681328
16-April-23 13:05:14 - INFO:  set_to:0.0005868682637810707
16-April-23 13:05:15 - INFO:  set_to:0.0005090497434139252
16-April-23 13:05:15 - INFO:  set_to:0.0004447130486369133
16-April-23 13:05:15 - INFO:  set_to:0.000485922209918499
16-April-23 13:05:15 - INFO:  set_to:0.0005792006850242615
16-April-23 13:05:15 - INFO:  set_to:0.0005248747766017914
16-April-23 13:05:15 - INFO:  set_to:0.0005834074690937996
16-April-23 13:05:15 - INFO:  set_to:0.0005830507725477219
16-April-23 13:05:16 - INFO:  set_to:0.0006173159927129745
16-April-23 13:05:16 - INFO:  set_to:0.0006663799285888672
16-April-23 13:05:16 - INFO:  set_to:0.0004975534975528717
16-April-23 13:05:16 - INFO:  set_to:0.000552816316485405
16-April-23 13:05:16 - INFO:  set_to:0.0005058841779828072
16-April-23 13:05:16 - INFO:  set_to:0.0005023786798119545
16-April-23 13:05:16 - INFO:  set_to:0.0006618667393922806
16-April-23 13:05:16 - INFO:  set_to:0.000606972724199295
16-April-23 13:05:16 - INFO:  set_to:0.0006531765684485435
16-April-23 13:05:17 - INFO:  set_to:0.0006063720211386681
16-April-23 13:05:17 - INFO:  set_to:0.000531408004462719
16-April-23 13:05:17 - INFO:  set_to:0.0005020545795559883
16-April-23 13:05:17 - INFO:  set_to:0.0006499933078885078
16-April-23 13:05:17 - INFO:  set_to:0.0005009640008211136
16-April-23 13:05:17 - INFO:  set_to:0.0005195792764425278
16-April-23 13:05:17 - INFO:  set_to:0.0004836376756429672
16-April-23 13:05:17 - INFO:  set_to:0.0005030492320656776
16-April-23 13:05:17 - INFO:  set_to:0.0005856761708855629
16-April-23 13:05:17 - INFO:  set_to:0.0005338182672858238
16-April-23 13:05:17 - INFO:  set_to:0.0006766617298126221
16-April-23 13:05:18 - INFO:  set_to:0.000613694079220295
16-April-23 13:05:18 - INFO:  set_to:0.0004762588068842888
16-April-23 13:05:18 - INFO:  set_to:0.0005091559141874313
16-April-23 13:05:18 - INFO:  set_to:0.0005353931337594986
16-April-23 13:05:18 - INFO:  set_to:0.0005918852984905243
16-April-23 13:05:18 - INFO:  set_to:0.00048825982958078384
16-April-23 13:05:18 - INFO:  set_to:0.0005464274436235428
16-April-23 13:05:18 - INFO:  set_to:0.0005727233365178108
16-April-23 13:05:19 - INFO:  set_to:0.0006014537066221237
16-April-23 13:05:19 - INFO:  set_to:0.0005689505487680435
16-April-23 13:05:19 - INFO:  set_to:0.0005781054496765137
16-April-23 13:05:19 - INFO:  set_to:0.0005163326859474182
16-April-23 13:05:19 - INFO:  set_to:0.0005459887906908989
16-April-23 13:05:19 - INFO:  set_to:0.0005179299041628838
16-April-23 13:05:19 - INFO:  set_to:0.0006891274824738503
16-April-23 13:05:19 - INFO:  set_to:0.0005192970857024193
16-April-23 13:05:20 - INFO:  set_to:0.0005836887285113335
16-April-23 13:05:20 - INFO:  set_to:0.0005033975467085838
16-April-23 13:05:20 - INFO:  set_to:0.0006092023104429245
16-April-23 13:05:20 - INFO:  set_to:0.00054984912276268
16-April-23 13:05:20 - INFO:  set_to:0.0005869725719094276
16-April-23 13:05:20 - INFO:  set_to:0.0005911914631724358
16-April-23 13:05:21 - INFO:  set_to:0.0005599334836006165
16-April-23 13:05:21 - INFO:  set_to:0.000560893677175045
16-April-23 13:05:21 - INFO:  set_to:0.0005456171929836273
16-April-23 13:05:21 - INFO:  set_to:0.0005090413615107536
16-April-23 13:05:21 - INFO:  set_to:0.0006542829796671867
16-April-23 13:05:22 - INFO:  set_to:0.0005073798820376396
16-April-23 13:05:22 - INFO:  set_to:0.000544319860637188
16-April-23 13:05:22 - INFO:  set_to:0.0004845075309276581
16-April-23 13:05:22 - INFO:  set_to:0.0005441540852189064
16-April-23 13:05:22 - INFO:  set_to:0.0005248691886663437
16-April-23 13:05:22 - INFO:  set_to:0.0004862062633037567
16-April-23 13:05:22 - INFO:  set_to:0.0006157932803034782
16-April-23 13:05:23 - INFO:  set_to:0.0005252966657280922
16-April-23 13:05:23 - INFO:  set_to:0.000490889884531498
16-April-23 13:05:23 - INFO:  set_to:0.0005335621535778046
16-April-23 13:05:23 - INFO:  set_to:0.0005077077075839043
16-April-23 13:05:23 - INFO:  set_to:0.0005865637212991714
16-April-23 13:05:23 - INFO:  set_to:0.00041435007005929947
16-April-23 13:05:23 - INFO:  set_to:0.0005640704184770584
16-April-23 13:05:23 - INFO:  set_to:0.0004556085914373398
16-April-23 13:05:23 - INFO:  set_to:0.0005910675972700119
16-April-23 13:05:24 - INFO:  set_to:0.000650438480079174
16-April-23 13:05:24 - INFO:  set_to:0.0005223704501986504
16-April-23 13:05:24 - INFO:  set_to:0.0005482630804181099
16-April-23 13:05:24 - INFO:  set_to:0.0005275551229715347
