09-April-23 21:06:34 - INFO:  del_multiple:0.0059853000566363335
09-April-23 21:06:34 - INFO:  del_multiple:0.005962958559393883
09-April-23 21:06:34 - INFO:  del_multiple:0.005835296586155891
09-April-23 21:06:34 - INFO:  del_multiple:0.005963729694485664
09-April-23 21:06:34 - INFO:  del_multiple:0.005979863926768303
09-April-23 21:06:35 - INFO:  del_multiple:0.006022658199071884
09-April-23 21:06:35 - INFO:  del_multiple:0.005982184782624245
09-April-23 21:06:35 - INFO:  del_multiple:0.00592789426445961
09-April-23 21:06:35 - INFO:  del_multiple:0.005891088396310806
09-April-23 21:06:35 - INFO:  del_multiple:0.005928440019488335
09-April-23 21:06:36 - INFO:  del_multiple:0.005644024349749088
09-April-23 21:06:36 - INFO:  del_multiple:0.005935972556471825
09-April-23 21:06:36 - INFO:  del_multiple:0.006012795493006706
09-April-23 21:06:36 - INFO:  del_multiple:0.005915750749409199
09-April-23 21:06:36 - INFO:  del_multiple:0.005777695216238499
09-April-23 21:06:36 - INFO:  del_multiple:0.006067613139748573
09-April-23 21:06:37 - INFO:  del_multiple:0.005927832797169685
09-April-23 21:06:37 - INFO:  del_multiple:0.005773480981588364
09-April-23 21:06:37 - INFO:  del_multiple:0.00589294359087944
09-April-23 21:06:37 - INFO:  del_multiple:0.005861717276275158
09-April-23 21:06:37 - INFO:  del_multiple:0.00568727683275938
09-April-23 21:06:37 - INFO:  del_multiple:0.00581094715744257
09-April-23 21:06:37 - INFO:  del_multiple:0.006018992513418198
09-April-23 21:06:37 - INFO:  del_multiple:0.005935181863605976
09-April-23 21:06:37 - INFO:  del_multiple:0.005900213494896889
09-April-23 21:06:38 - INFO:  del_multiple:0.0058804042637348175
09-April-23 21:06:38 - INFO:  del_multiple:0.005929580889642239
09-April-23 21:06:38 - INFO:  del_multiple:0.005838470533490181
09-April-23 21:06:38 - INFO:  del_multiple:0.005854683928191662
09-April-23 21:06:38 - INFO:  del_multiple:0.00559996347874403
09-April-23 21:06:38 - INFO:  del_multiple:0.005906363949179649
09-April-23 21:06:38 - INFO:  del_multiple:0.00580829381942749
09-April-23 21:06:38 - INFO:  del_multiple:0.0057537741959095
09-April-23 21:06:38 - INFO:  del_multiple:0.00582753773778677
09-April-23 21:06:39 - INFO:  del_multiple:0.0059470320120453835
09-April-23 21:06:39 - INFO:  del_multiple:0.005938977003097534
09-April-23 21:06:39 - INFO:  del_multiple:0.005837355740368366
09-April-23 21:06:39 - INFO:  del_multiple:0.005876900628209114
09-April-23 21:06:39 - INFO:  del_multiple:0.005802907980978489
09-April-23 21:06:39 - INFO:  del_multiple:0.0057432278990745544
09-April-23 21:06:39 - INFO:  del_multiple:0.005553547292947769
09-April-23 21:06:39 - INFO:  del_multiple:0.005607964470982552
09-April-23 21:06:39 - INFO:  del_multiple:0.005897522903978825
09-April-23 21:06:39 - INFO:  del_multiple:0.00589691661298275
09-April-23 21:06:39 - INFO:  del_multiple:0.005506477318704128
09-April-23 21:06:39 - INFO:  del_multiple:0.005840987898409367
09-April-23 21:06:40 - INFO:  del_multiple:0.005964563228189945
09-April-23 21:06:40 - INFO:  del_multiple:0.0058822026476264
09-April-23 21:06:40 - INFO:  del_multiple:0.005889448337256908
09-April-23 21:06:40 - INFO:  del_multiple:0.005838377401232719
09-April-23 21:06:40 - INFO:  del_multiple:0.005816500633955002
09-April-23 21:06:40 - INFO:  del_multiple:0.005409513600170612
09-April-23 21:06:41 - INFO:  del_multiple:0.005446983501315117
09-April-23 21:06:41 - INFO:  del_multiple:0.005494575947523117
09-April-23 21:06:41 - INFO:  del_multiple:0.0051587289199233055
09-April-23 21:06:41 - INFO:  del_multiple:0.005365143530070782
09-April-23 21:06:41 - INFO:  del_multiple:0.005550474859774113
09-April-23 21:06:41 - INFO:  del_multiple:0.005670868791639805
09-April-23 21:06:41 - INFO:  del_multiple:0.0055955881252884865
09-April-23 21:06:41 - INFO:  del_multiple:0.0056826276704669
09-April-23 21:06:42 - INFO:  del_multiple:0.005928942002356052
09-April-23 21:06:42 - INFO:  del_multiple:0.005931278690695763
09-April-23 21:06:42 - INFO:  del_multiple:0.0058107152581214905
09-April-23 21:06:42 - INFO:  del_multiple:0.005865238606929779
09-April-23 21:06:42 - INFO:  del_multiple:0.005816644057631493
