16-April-23 13:22:29 - INFO:  get_range:0.0032418537884950638
16-April-23 13:22:29 - INFO:  get_range:0.00354824960231781
16-April-23 13:22:29 - INFO:  get_range:0.003760303370654583
16-April-23 13:22:29 - INFO:  get_range:0.0038842689245939255
16-April-23 13:22:29 - INFO:  get_range:0.0038963286206126213
16-April-23 13:22:29 - INFO:  get_range:0.003961178474128246
16-April-23 13:22:29 - INFO:  get_range:0.0030310368165373802
16-April-23 13:22:30 - INFO:  get_range:0.0029555214568972588
16-April-23 13:22:30 - INFO:  get_range:0.0032955342903733253
16-April-23 13:22:30 - INFO:  get_range:0.003230302594602108
16-April-23 13:22:30 - INFO:  get_range:0.003093370236456394
16-April-23 13:22:30 - INFO:  get_range:0.00369950570166111
16-April-23 13:22:31 - INFO:  get_range:0.0035211220383644104
16-April-23 13:22:31 - INFO:  get_range:0.003405502066016197
16-April-23 13:22:31 - INFO:  get_range:0.0038817962631583214
16-April-23 13:22:31 - INFO:  get_range:0.0039751362055540085
16-April-23 13:22:31 - INFO:  get_range:0.0038566887378692627
16-April-23 13:22:31 - INFO:  get_range:0.003214087337255478
16-April-23 13:22:31 - INFO:  get_range:0.00364731065928936
16-April-23 13:22:31 - INFO:  get_range:0.003193606622517109
16-April-23 13:22:31 - INFO:  get_range:0.0038135824725031853
16-April-23 13:22:32 - INFO:  get_range:0.0038883034139871597
16-April-23 13:22:32 - INFO:  get_range:0.00366933923214674
16-April-23 13:22:32 - INFO:  get_range:0.0032034162431955338
16-April-23 13:22:32 - INFO:  get_range:0.0034760208800435066
16-April-23 13:22:32 - INFO:  get_range:0.0037611452862620354
16-April-23 13:22:32 - INFO:  get_range:0.003920198418200016
16-April-23 13:22:32 - INFO:  get_range:0.0032062139362096786
16-April-23 13:22:33 - INFO:  get_range:0.002804601565003395
16-April-23 13:22:33 - INFO:  get_range:0.00347072072327137
16-April-23 13:22:33 - INFO:  get_range:0.003307044506072998
16-April-23 13:22:33 - INFO:  get_range:0.0038984082639217377
16-April-23 13:22:33 - INFO:  get_range:0.003827582113444805
16-April-23 13:22:33 - INFO:  get_range:0.0037949364632368088
16-April-23 13:22:33 - INFO:  get_range:0.003619575873017311
16-April-23 13:22:33 - INFO:  get_range:0.003832809627056122
16-April-23 13:22:33 - INFO:  get_range:0.003468894399702549
16-April-23 13:22:33 - INFO:  get_range:0.0036984318867325783
16-April-23 13:22:34 - INFO:  get_range:0.0039144242182374
16-April-23 13:22:34 - INFO:  get_range:0.0038661081343889236
16-April-23 13:22:34 - INFO:  get_range:0.0035829003900289536
16-April-23 13:22:34 - INFO:  get_range:0.0038575781509280205
16-April-23 13:22:34 - INFO:  get_range:0.0033129695802927017
16-April-23 13:22:34 - INFO:  get_range:0.0037972480058670044
16-April-23 13:22:34 - INFO:  get_range:0.0033551855012774467
16-April-23 13:22:34 - INFO:  get_range:0.00387579295784235
16-April-23 13:22:35 - INFO:  get_range:0.0033258330076932907
16-April-23 13:22:35 - INFO:  get_range:0.0034156963229179382
16-April-23 13:22:35 - INFO:  get_range:0.0034945057705044746
16-April-23 13:22:35 - INFO:  get_range:0.003531062975525856
16-April-23 13:22:35 - INFO:  get_range:0.0039107054471969604
16-April-23 13:22:35 - INFO:  get_range:0.003932338207960129
16-April-23 13:22:35 - INFO:  get_range:0.0036020008847117424
16-April-23 13:22:35 - INFO:  get_range:0.0036906199529767036
16-April-23 13:22:35 - INFO:  get_range:0.0033993804827332497
16-April-23 13:22:35 - INFO:  get_range:0.003872709348797798
16-April-23 13:22:35 - INFO:  get_range:0.0038374383002519608
16-April-23 13:22:36 - INFO:  get_range:0.0033320821821689606
16-April-23 13:22:36 - INFO:  get_range:0.0035307984799146652
16-April-23 13:22:36 - INFO:  get_range:0.0037063974887132645
16-April-23 13:22:36 - INFO:  get_range:0.003926764242351055
16-April-23 13:22:37 - INFO:  get_range:0.0035236142575740814
16-April-23 13:22:37 - INFO:  get_range:0.0034438539296388626
16-April-23 13:22:37 - INFO:  get_range:0.003860524855554104
16-April-23 13:22:37 - INFO:  get_range:0.003025982528924942
16-April-23 13:22:38 - INFO:  get_range:0.00345483236014843
16-April-23 13:22:38 - INFO:  get_range:0.0034622764214873314
16-April-23 13:22:38 - INFO:  get_range:0.003756997175514698
16-April-23 13:22:38 - INFO:  get_range:0.0038825077936053276
16-April-23 13:22:38 - INFO:  get_range:0.0038802465423941612
